year,category,name_of_work,staff_members
1972,DIRECTING,Cabaret,Bob Fosse
1972,DOCUMENTARY (Feature),Marjoe,"Howard Smith and Sarah Kernochan, Producers"
1972,MUSIC (Original Dramatic Score),Limelight,"Charles Chaplin, Raymond Rasch, Larry Russell"
1972,MUSIC (Scoring: Adaptation and Original Song Score),Cabaret,Adaptation Score by Ralph Burns
1972,MUSIC (Song--Original for the Picture),"""The Morning After"" from The Poseidon Adventure",Music and Lyrics by Al Kasha and Joel Hirschhorn
1972,BEST PICTURE,The Godfather,"Albert S. Ruddy, Producer"
1972,SHORT SUBJECT (Animated),A Christmas Carol,"Richard Williams, Producer"
1972,SHORT SUBJECT (Live Action),Norman Rockwell's World...An American Dream,"Richard Barclay, Producer"
1972,WRITING (Screenplay--based on material from another medium),The Godfather,"Mario Puzo, Francis Ford Coppola"
1972,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),The Candidate,Jeremy Larner
1973,DIRECTING,The Sting,George Roy Hill
1973,DOCUMENTARY (Feature),The Great American Cowboy,"Kieth Merrill, Producer"
1973,MUSIC (Original Dramatic Score),The Way We Were,Marvin Hamlisch
1973,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),The Sting,Adaptation Score by Marvin Hamlisch
1973,MUSIC (Song),"""The Way We Were"" from The Way We Were",Music by Marvin Hamlisch; Lyrics by Alan Bergman and Marilyn Bergman
1973,BEST PICTURE,The Sting,"Tony Bill, Michael Phillips and Julia Phillips, Producers"
1973,SHORT SUBJECT (Animated),Frank Film,"Frank Mouris, Producer"
1973,SHORT SUBJECT (Live Action),The Bolero,"Allan Miller and William Fertik, Producers"
1973,WRITING (Screenplay--based on material from another medium),The Exorcist,William Peter Blatty
1973,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),The Sting,David S. Ward
1974,DIRECTING,The Godfather Part II,Francis Ford Coppola
1974,DOCUMENTARY (Feature),Hearts and Minds,"Peter Davis and Bert Schneider, Producers"
1974,MUSIC (Original Dramatic Score),The Godfather Part II,"Nino Rota, Carmine Coppola"
1974,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),The Great Gatsby,Adaptation Score by Nelson Riddle
1974,MUSIC (Song),"""We May Never Love Like This Again"" from The Towering Inferno",Music and Lyrics by Al Kasha and Joel Hirschhorn
1974,BEST PICTURE,The Godfather Part II,"Francis Ford Coppola, Producer; Gray Frederickson and Fred Roos, Co-Producers"
1974,SHORT FILM (Animated),Closed Mondays,"Will Vinton and Bob Gardiner, Producers"
1974,SHORT FILM (Live Action),One-Eyed Men Are Kings,"Paul Claudon and Edmond Sechan, Producers"
1974,WRITING (Original Screenplay),Chinatown,Robert Towne
1974,WRITING (Screenplay Adapted from Other Material),The Godfather Part II,"Francis Ford Coppola, Mario Puzo"
1975,DIRECTING,One Flew over the Cuckoo's Nest,Milos Forman
1975,DOCUMENTARY (Feature),The Man Who Skied down Everest,"F. R. Crawley, James Hager and Dale Hartleben, Producers"
1975,MUSIC (Original Score),Jaws,John Williams
1975,MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation),Barry Lyndon,Adaptation Score by Leonard Rosenman
1975,MUSIC (Original Song),"""I'm Easy"" from Nashville",Music and Lyrics by Keith Carradine
1975,BEST PICTURE,One Flew over the Cuckoo's Nest,"Saul Zaentz and Michael Douglas, Producers"
1975,SHORT FILM (Animated),Great,"Bob Godfrey, Producer"
1975,SHORT FILM (Live Action),Angel and Big Joe,"Bert Salzman, Producer"
1975,WRITING (Original Screenplay),Dog Day Afternoon,Frank Pierson
1975,WRITING (Screenplay Adapted from Other Material),One Flew over the Cuckoo's Nest,"Lawrence Hauben, Bo Goldman"
1976,DIRECTING,Rocky,John G. Avildsen
1976,DOCUMENTARY (Feature),"Harlan County, U.S.A.","Barbara Kopple, Producer"
1976,MUSIC (Original Score),The Omen,Jerry Goldsmith
1976,MUSIC (Original Song Score and Its Adaptation or Adaptation Score),Bound for Glory,Adaptation Score by Leonard Rosenman
1976,MUSIC (Original Song),"""Evergreen (Love Theme From A Star Is Born)"" from A Star Is Born",Music by Barbra Streisand; Lyrics by Paul Williams
1976,BEST PICTURE,Rocky,"Irwin Winkler and Robert Chartoff, Producers"
1976,SHORT FILM (Animated),Leisure,"Suzanne Baker, Producer"
1976,SHORT FILM (Live Action),In the Region of Ice,"Andre Guttfreund and Peter Werner, Producers"
1976,WRITING (Screenplay--based on material from another medium),All the President's Men,William Goldman
1976,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),Network,Paddy Chayefsky
1977,DIRECTING,Annie Hall,Woody Allen
1977,DOCUMENTARY (Feature),Who Are the DeBolts? And Where Did They Get Nineteen Kids?,"John Korty, Dan McCann and Warren L. Lockhart, Producers"
1977,MUSIC (Original Score),Star Wars,John Williams
1977,MUSIC (Original Song Score and Its Adaptation or Adaptation Score),A Little Night Music,Adaptation Score by Jonathan Tunick
1977,MUSIC (Original Song),"""You Light Up My Life"" from You Light Up My Life",Music and Lyrics by Joseph Brooks
1977,BEST PICTURE,Annie Hall,"Charles H. Joffe, Producer"
1977,SHORT FILM (Animated),The Sand Castle,"Co Hoedeman, Producer"
1977,SHORT FILM (Live Action),I'll Find a Way,"Beverly Shaffer and Yuki Yoshida, Producers"
1977,WRITING (Screenplay--based on material from another medium),Julia,Alvin Sargent
1977,WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced),Annie Hall,"Woody Allen, Marshall Brickman"
1978,DIRECTING,The Deer Hunter,Michael Cimino
1978,DOCUMENTARY (Feature),Scared Straight!,"Arnold Shapiro, Producer"
1978,DOCUMENTARY (Short Subject),The Flight of the Gossamer Condor,"Jacqueline Phillips Shedd and Ben Shedd, Producers"
