year,category,name_of_work,staff_members
1972,DIRECTING,Cabaret,Bob Fosse
1972,DIRECTING,Deliverance,John Boorman
1972,DIRECTING,The Emigrants,Jan Troell
1972,DIRECTING,The Godfather,Francis Ford Coppola
1972,DIRECTING,Sleuth,Joseph L. Mankiewicz
1972,DOCUMENTARY (Feature),Ape and Super-Ape,"Bert Haanstra, Producer"
1972,DOCUMENTARY (Feature),Malcolm X,"Marvin Worth and Arnold Perl, Producers"
1972,DOCUMENTARY (Feature),Manson,"Robert Hendrickson and Laurence Merrick, Producers"
1972,DOCUMENTARY (Feature),Marjoe,"Howard Smith and Sarah Kernochan, Producers"
1972,DOCUMENTARY (Feature),The Silent Revolution,"Eckehard Munck, Producer"
1972,DOCUMENTARY (Short Subject),Hundertwasser's Rainy Day,"Peter Schamoni, Producer"
1972,DOCUMENTARY (Short Subject),K-Z,"Giorgio Treves, Producer"
1972,DOCUMENTARY (Short Subject),Selling Out,"Tadeusz Jaworski, Producer"
1972,DOCUMENTARY (Short Subject),This Tiny World,"Charles Huguenot van der Linden and Martina Huguenot van der Linden, Producers"
1972,DOCUMENTARY (Short Subject),The Tide of Traffic,"Humphrey Swingler, Producer"
1972,DOCUMENTARY (Short Subject),The Dawns Here Are Quiet,Union of Soviet Socialist Republics
1972,DOCUMENTARY (Short Subject),The Discreet Charm of the Bourgeoisie,France
1972,DOCUMENTARY (Short Subject),I Love You Rosa,Israel
1972,DOCUMENTARY (Short Subject),My Dearest Señorita,Spain
1972,DOCUMENTARY (Short Subject),The New Land,Sweden
1972,MUSIC (Original Dramatic Score),The Godfather,Nino Rota
1972,MUSIC (Original Dramatic Score),images,John Williams
1972,MUSIC (Original Dramatic Score),Limelight,"Charles Chaplin, Raymond Rasch, Larry Russell"
1972,MUSIC (Original Dramatic Score),Napoleon and Samantha,Buddy Baker
1972,MUSIC (Original Dramatic Score),The Poseidon Adventure,John Williams
1972,MUSIC (Original Dramatic Score),Sleuth,John Addison
1972,MUSIC (Scoring: Adaptation and Original Song Score),Cabaret,Adaptation Score by Ralph Burns
1972,MUSIC (Scoring: Adaptation and Original Song Score),Lady Sings the Blues,Adaptation Score by Gil Askey
1972,MUSIC (Scoring: Adaptation and Original Song Score),Man of La Mancha,Adaptation Score by Laurence Rosenthal
1972,MUSIC (Song--Original for the Picture),"""Ben"" from Ben",Music by Walter Scharf; Lyrics by Don Black
1972,MUSIC (Song--Original for the Picture),"""Come Follow, Follow Me"" from The Little Ark",Music by Fred Karlin; Lyrics by Marsha Karlin
1972,MUSIC (Song--Original for the Picture),"""Marmalade, Molasses & Honey"" from The Life and Times of Judge Roy Bean",Music by Maurice Jarre; Lyrics by Marilyn Bergman and Alan Bergman
1972,MUSIC (Song--Original for the Picture),"""The Morning After"" from The Poseidon Adventure",Music and Lyrics by Al Kasha and Joel Hirschhorn
1972,MUSIC (Song--Original for the Picture),"""Strange Are The Ways Of Love"" from The Stepmother",Music by Sammy Fain; Lyrics by Paul Francis Webster
1972,BEST PICTURE,Cabaret,"Cy Feuer, Producer"
1972,BEST PICTURE,Deliverance,"John Boorman, Producer"
