year,category,name_of_work,staff_members
,DIRECTING,Cabaret,Bob Fosse
,DIRECTING,Deliverance,John Boorman
,DIRECTING,The Emigrants,Jan Troell
,DIRECTING,The Godfather,Francis Ford Coppola
,DIRECTING,Sleuth,Joseph L. Mankiewicz
,DOCUMENTARY (Feature),Ape and Super-Ape,"Bert Haanstra, Producer"
,DOCUMENTARY (Feature),Malcolm X,"Marvin Worth and Arnold Perl, Producers"
,DOCUMENTARY (Feature),Manson,"Robert Hendrickson and Laurence Merrick, Producers"
,DOCUMENTARY (Feature),Marjoe,"Howard Smith and Sarah Kernochan, Producers"
,DOCUMENTARY (Feature),The Silent Revolution,"Eckehard Munck, Producer"
,DOCUMENTARY (Short Subject),Hundertwasser's Rainy Day,"Peter Schamoni, Producer"
,DOCUMENTARY (Short Subject),K-Z,"Giorgio Treves, Producer"
,DOCUMENTARY (Short Subject),Selling Out,"Tadeusz Jaworski, Producer"
,DOCUMENTARY (Short Subject),This Tiny World,"Charles Huguenot van der Linden and Martina Huguenot van der Linden, Producers"
,DOCUMENTARY (Short Subject),The Tide of Traffic,"Humphrey Swingler, Producer"
,DOCUMENTARY (Short Subject),The Dawns Here Are Quiet,Union of Soviet Socialist Republics
,DOCUMENTARY (Short Subject),The Discreet Charm of the Bourgeoisie,France
,DOCUMENTARY (Short Subject),I Love You Rosa,Israel
,DOCUMENTARY (Short Subject),My Dearest Señorita,Spain
,DOCUMENTARY (Short Subject),The New Land,Sweden
,MUSIC (Original Dramatic Score),The Godfather,Nino Rota
,MUSIC (Original Dramatic Score),images,John Williams
,MUSIC (Original Dramatic Score),Limelight,"Charles Chaplin, Raymond Rasch, Larry Russell"
,MUSIC (Original Dramatic Score),Napoleon and Samantha,Buddy Baker
,MUSIC (Original Dramatic Score),The Poseidon Adventure,John Williams
,MUSIC (Original Dramatic Score),Sleuth,John Addison
,MUSIC (Scoring: Adaptation and Original Song Score),Cabaret,Adaptation Score by Ralph Burns
,MUSIC (Scoring: Adaptation and Original Song Score),Lady Sings the Blues,Adaptation Score by Gil Askey
,MUSIC (Scoring: Adaptation and Original Song Score),Man of La Mancha,Adaptation Score by Laurence Rosenthal
,MUSIC (Song--Original for the Picture),"""Ben"" from Ben",Music by Walter Scharf; Lyrics by Don Black
,MUSIC (Song--Original for the Picture),"""Come Follow, Follow Me"" from The Little Ark",Music by Fred Karlin; Lyrics by Marsha Karlin
